all                  ==> all : 0.466896            accordance : 0.466896     with : 0.066207          
rühren              ==> would : 0.23865           advertising : 0.23865     thank : 0.187385         
abgesetzt            ==> withdrawn : 0.5           from : 0.5                agenda : 1.04248e-73     
heute                ==> today : 0.786524          what : 0.213476           are : 1.84549e-39        
ganz                 ==> quite : 0.423253          it : 0.269744             positions : 0.0511673    
beihilfenniveau      ==> s : 0.117799              reduce : 0.117799         overall : 0.117799       
gesehen              ==> to : 0.444963             be : 0.426567             in : 0.12847             
weshalb              ==> why : 0.857678            no : 0.0633563            has : 0.0503673          
hierzu               ==> as : 0.285714             resources : 0.142857      permitted : 0.142857     
monti                ==> market : 0.134703         way : 0.134703            single : 0.134703        
ausschließliche     ==> supply : 0.0855931        orientated : 0.0855931    exclusion : 0.0855931    
sollte               ==> should : 1                of : 3.85609e-32          and : 4.54189e-38        
notwendige           ==> of : 0.0924812            towards : 0.0907519       spirit : 0.0907519       
sieht                ==> what : 0.370111           fair : 0.370111           is : 0.259778            
selbst               ==> it : 0.5452               and : 0.451057            the : 0.00230999         
maßnahmen           ==> what : 0.140516           well : 0.140516           may : 0.140516           
fortfahren           ==> too : 0.14564             strengthening : 0.14564   intensifying : 0.14564   
jeweiligen           ==> you : 0.111111            up : 0.111111             total : 0.111111         
als                  ==> a : 0.638262              in : 0.243254             of : 0.118483            
mitgliedstaaten      ==> member : 0.613718         states : 0.386282         to : 7.92401e-241        
hemmungslosen        ==> wants : 0.155961          unimpeded : 0.155961      subsidy : 0.155961       
kohäsionsfonds      ==> cohesion : 0.65742        funds : 0.292065          structural : 0.0505152   
weitergehende        ==> regional : 0.101073       reason : 0.101073         reaching : 0.101073      
Änderungen          ==> amendments : 0.58879      no : 0.41121              there : 9.94787e-44      
abzusenken           ==> s : 0.117799              reduce : 0.117799         overall : 0.117799       
dazu                 ==> a : 0.62101               to : 0.37899              well : 9.42039e-114      
auf                  ==> to : 0.529723             of : 0.248349             the : 0.221928           
erst                 ==> date : 0.185225           consultation : 0.185225   at : 0.185225            
schlage              ==> regulation : 0.192993     suggest : 0.192993        reads : 0.192993         
entsprechend         ==> technical : 0.1           take : 0.1                industrial : 0.1         
anmerkungen          ==> should : 0.2              make : 0.2                just : 0.2               
niemand              ==> wants : 0.155961          unimpeded : 0.155961      subsidy : 0.155961       
deswegen             ==> why : 0.486332            moves : 0.243165          is : 0.145344            
strategischen        ==> that : 0.139614           strategically : 0.139614  must : 0.139614          
infrastrukturen      ==> when : 0.125686           services : 0.125686       public : 0.125686        
aus                  ==> are : 0.638195            by : 0.361805             a : 6.7523e-21           
ausnahmen            ==> permitted : 0.24436       exemptions : 0.24436      defined : 0.24436        
protokoll            ==> minutes : 0.941074        the : 0.0589263           s : 1.04863e-57          
optimalen            ==> solutions : 0.166667      produce : 0.166667        instrument : 0.166667    
für                 ==> to : 0.596523             for : 0.403477            this : 6.44711e-40       
marktes              ==> wing : 0.113562           slim : 0.113562           right : 0.113562         
kleine               ==> small : 0.129202          legislation : 0.129202    large : 0.129202         
verklärung          ==> reject : 0.194106         point : 0.194106          optimism : 0.194106      
